question_id,question,option_a,option_b,option_c,option_d,correct_option,difficulty,category,explanation,source,source_url,active,verified_date,content_type
NCQ-023,ज्ञान परीक्षण: बी.पी. को पूरा नाम — सही विकल्प कुन हो?,विश्वेश्वरप्रसाद कोइराला,गणेशप्रसाद कोइराला,कृष्णप्रसाद कोइराला,बालकृष्णप्रसाद कोइराला,A,basic,नेता,सही उत्तर: विश्वेश्वरप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — नेता,https://nepalicongress.org/leader/bp-koirala/,True,2026-09-25,mcq
NCQ-024,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, बी.पी. को पूरा नाम को उत्तर छान्नुहोस्।",कृष्णप्रसाद कोइराला,बालकृष्णप्रसाद कोइराला,विश्वेश्वरप्रसाद कोइराला,गणेशप्रसाद कोइराला,C,basic,नेता,सही उत्तर: विश्वेश्वरप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — नेता,https://nepalicongress.org/leader/bp-koirala/,True,2026-09-25,mcq
NCQ-025,चुनौती: बी.पी. को पूरा नाम — चार विकल्पमध्ये सही उत्तर कुन हो?,विश्वेश्वरप्रसाद कोइराला,गणेशप्रसाद कोइराला,कृष्णप्रसाद कोइराला,बालकृष्णप्रसाद कोइराला,A,basic,नेता,सही उत्तर: विश्वेश्वरप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — नेता,https://nepalicongress.org/leader/bp-koirala/,True,2026-09-25,mcq
NCQ-026,नेपाली कांग्रेसका प्रमुख आदर्श को सही उत्तर कुन हो?,"राजतन्त्र, सैन्यवाद, साम्यवाद","एकदलीयता, राजतन्त्र, सैन्यवाद","केन्द्रीकरण, धर्मतन्त्र, सैन्यवाद","राष्ट्रियता, लोकतन्त्र, समाजवाद",D,basic,सिद्धान्त,"सही उत्तर: राष्ट्रियता, लोकतन्त्र, समाजवाद। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — सिद्धान्त,https://nepalicongress.org/principle/,True,2026-09-25,mcq
NCQ-027,तलका विकल्पमध्ये नेपाली कांग्रेसका प्रमुख आदर्श सँग मिल्ने तथ्य छान्नुहोस्।,"केन्द्रीकरण, धर्मतन्त्र, सैन्यवाद","राष्ट्रियता, लोकतन्त्र, समाजवाद","राजतन्त्र, सैन्यवाद, साम्यवाद","एकदलीयता, राजतन्त्र, सैन्यवाद",B,basic,सिद्धान्त,"सही उत्तर: राष्ट्रियता, लोकतन्त्र, समाजवाद। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — सिद्धान्त,https://nepalicongress.org/principle/,True,2026-09-25,mcq
NCQ-028,ज्ञान परीक्षण: नेपाली कांग्रेसका प्रमुख आदर्श — सही विकल्प कुन हो?,"राजतन्त्र, सैन्यवाद, साम्यवाद","एकदलीयता, राजतन्त्र, सैन्यवाद","केन्द्रीकरण, धर्मतन्त्र, सैन्यवाद","राष्ट्रियता, लोकतन्त्र, समाजवाद",D,basic,सिद्धान्त,"सही उत्तर: राष्ट्रियता, लोकतन्त्र, समाजवाद। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — सिद्धान्त,https://nepalicongress.org/principle/,True,2026-09-25,mcq
NCQ-029,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, नेपाली कांग्रेसका प्रमुख आदर्श को उत्तर छान्नुहोस्।","केन्द्रीकरण, धर्मतन्त्र, सैन्यवाद","राष्ट्रियता, लोकतन्त्र, समाजवाद","राजतन्त्र, सैन्यवाद, साम्यवाद","एकदलीयता, राजतन्त्र, सैन्यवाद",B,basic,सिद्धान्त,"सही उत्तर: राष्ट्रियता, लोकतन्त्र, समाजवाद। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — सिद्धान्त,https://nepalicongress.org/principle/,True,2026-09-25,mcq
NCQ-030,चुनौती: नेपाली कांग्रेसका प्रमुख आदर्श — चार विकल्पमध्ये सही उत्तर कुन हो?,"राजतन्त्र, सैन्यवाद, साम्यवाद","एकदलीयता, राजतन्त्र, सैन्यवाद","केन्द्रीकरण, धर्मतन्त्र, सैन्यवाद","राष्ट्रियता, लोकतन्त्र, समाजवाद",D,basic,सिद्धान्त,"सही उत्तर: राष्ट्रियता, लोकतन्त्र, समाजवाद। स्रोतमा यो तथ्य उल्लेख गरिएको छ।",नेपाली कांग्रेस — सिद्धान्त,https://nepalicongress.org/principle/,True,2026-09-25,mcq
NCQ-031,२००७ सालको संघर्षसँग जोडिएको परिवर्तन को सही उत्तर कुन हो?,गणतन्त्र स्थापना,संघीयता स्थापना,राणा शासनको अन्त्य र प्रजातन्त्र स्थापना,पञ्चायत स्थापना,C,basic,आन्दोलन,सही उत्तर: राणा शासनको अन्त्य र प्रजातन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-032,तलका विकल्पमध्ये २००७ सालको संघर्षसँग जोडिएको परिवर्तन सँग मिल्ने तथ्य छान्नुहोस्।,राणा शासनको अन्त्य र प्रजातन्त्र स्थापना,पञ्चायत स्थापना,गणतन्त्र स्थापना,संघीयता स्थापना,A,basic,आन्दोलन,सही उत्तर: राणा शासनको अन्त्य र प्रजातन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-033,ज्ञान परीक्षण: २००७ सालको संघर्षसँग जोडिएको परिवर्तन — सही विकल्प कुन हो?,गणतन्त्र स्थापना,संघीयता स्थापना,राणा शासनको अन्त्य र प्रजातन्त्र स्थापना,पञ्चायत स्थापना,C,basic,आन्दोलन,सही उत्तर: राणा शासनको अन्त्य र प्रजातन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-034,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २००७ सालको संघर्षसँग जोडिएको परिवर्तन को उत्तर छान्नुहोस्।",राणा शासनको अन्त्य र प्रजातन्त्र स्थापना,पञ्चायत स्थापना,गणतन्त्र स्थापना,संघीयता स्थापना,A,basic,आन्दोलन,सही उत्तर: राणा शासनको अन्त्य र प्रजातन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-035,चुनौती: २००७ सालको संघर्षसँग जोडिएको परिवर्तन — चार विकल्पमध्ये सही उत्तर कुन हो?,गणतन्त्र स्थापना,संघीयता स्थापना,राणा शासनको अन्त्य र प्रजातन्त्र स्थापना,पञ्चायत स्थापना,C,basic,आन्दोलन,सही उत्तर: राणा शासनको अन्त्य र प्रजातन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-036,पहिलो आमनिर्वाचनमा कांग्रेसले जितेको सिट को सही उत्तर कुन हो?,११३,७४,५९,९०,B,basic,निर्वाचन,सही उत्तर: ७४। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-037,तलका विकल्पमध्ये पहिलो आमनिर्वाचनमा कांग्रेसले जितेको सिट सँग मिल्ने तथ्य छान्नुहोस्।,५९,९०,११३,७४,D,basic,निर्वाचन,सही उत्तर: ७४। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-038,ज्ञान परीक्षण: पहिलो आमनिर्वाचनमा कांग्रेसले जितेको सिट — सही विकल्प कुन हो?,११३,७४,५९,९०,B,basic,निर्वाचन,सही उत्तर: ७४। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-039,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, पहिलो आमनिर्वाचनमा कांग्रेसले जितेको सिट को उत्तर छान्नुहोस्।",५९,९०,११३,७४,D,basic,निर्वाचन,सही उत्तर: ७४। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-040,चुनौती: पहिलो आमनिर्वाचनमा कांग्रेसले जितेको सिट — चार विकल्पमध्ये सही उत्तर कुन हो?,११३,७४,५९,९०,B,basic,निर्वाचन,सही उत्तर: ७४। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-041,२०१७ मा जननिर्वाचित सरकार भङ्ग गर्ने राजा को सही उत्तर कुन हो?,महेन्द्र,त्रिभुवन,वीरेन्द्र,ज्ञानेन्द्र,A,basic,इतिहास,सही उत्तर: महेन्द्र। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-042,तलका विकल्पमध्ये २०१७ मा जननिर्वाचित सरकार भङ्ग गर्ने राजा सँग मिल्ने तथ्य छान्नुहोस्।,वीरेन्द्र,ज्ञानेन्द्र,महेन्द्र,त्रिभुवन,C,basic,इतिहास,सही उत्तर: महेन्द्र। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-043,ज्ञान परीक्षण: २०१७ मा जननिर्वाचित सरकार भङ्ग गर्ने राजा — सही विकल्प कुन हो?,महेन्द्र,त्रिभुवन,वीरेन्द्र,ज्ञानेन्द्र,A,basic,इतिहास,सही उत्तर: महेन्द्र। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-044,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०१७ मा जननिर्वाचित सरकार भङ्ग गर्ने राजा को उत्तर छान्नुहोस्।",वीरेन्द्र,ज्ञानेन्द्र,महेन्द्र,त्रिभुवन,C,basic,इतिहास,सही उत्तर: महेन्द्र। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-045,चुनौती: २०१७ मा जननिर्वाचित सरकार भङ्ग गर्ने राजा — चार विकल्पमध्ये सही उत्तर कुन हो?,महेन्द्र,त्रिभुवन,वीरेन्द्र,ज्ञानेन्द्र,A,basic,इतिहास,सही उत्तर: महेन्द्र। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-046,२०१७ पछि लागू भएको व्यवस्था को सही उत्तर कुन हो?,बहुदलीय व्यवस्था,संघीय गणतन्त्र,राणा शासन,पञ्चायती व्यवस्था,D,basic,इतिहास,सही उत्तर: पञ्चायती व्यवस्था। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-047,तलका विकल्पमध्ये २०१७ पछि लागू भएको व्यवस्था सँग मिल्ने तथ्य छान्नुहोस्।,राणा शासन,पञ्चायती व्यवस्था,बहुदलीय व्यवस्था,संघीय गणतन्त्र,B,basic,इतिहास,सही उत्तर: पञ्चायती व्यवस्था। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-048,ज्ञान परीक्षण: २०१७ पछि लागू भएको व्यवस्था — सही विकल्प कुन हो?,बहुदलीय व्यवस्था,संघीय गणतन्त्र,राणा शासन,पञ्चायती व्यवस्था,D,basic,इतिहास,सही उत्तर: पञ्चायती व्यवस्था। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-049,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०१७ पछि लागू भएको व्यवस्था को उत्तर छान्नुहोस्।",राणा शासन,पञ्चायती व्यवस्था,बहुदलीय व्यवस्था,संघीय गणतन्त्र,B,basic,इतिहास,सही उत्तर: पञ्चायती व्यवस्था। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-050,चुनौती: २०१७ पछि लागू भएको व्यवस्था — चार विकल्पमध्ये सही उत्तर कुन हो?,बहुदलीय व्यवस्था,संघीय गणतन्त्र,राणा शासन,पञ्चायती व्यवस्था,D,basic,इतिहास,सही उत्तर: पञ्चायती व्यवस्था। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — इतिहास,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-051,राष्ट्रिय मेलमिलाप नीतिसँग जोडिएको मिति को सही उत्तर कुन हो?,२६ चैत २०४६,३ असोज २०७२,१६ पुस २०३३,७ फागुन २००७,C,medium,बीपी,सही उत्तर: १६ पुस २०३३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — बीपी,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-052,तलका विकल्पमध्ये राष्ट्रिय मेलमिलाप नीतिसँग जोडिएको मिति सँग मिल्ने तथ्य छान्नुहोस्।,१६ पुस २०३३,७ फागुन २००७,२६ चैत २०४६,३ असोज २०७२,A,medium,बीपी,सही उत्तर: १६ पुस २०३३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — बीपी,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-053,ज्ञान परीक्षण: राष्ट्रिय मेलमिलाप नीतिसँग जोडिएको मिति — सही विकल्प कुन हो?,२६ चैत २०४६,३ असोज २०७२,१६ पुस २०३३,७ फागुन २००७,C,medium,बीपी,सही उत्तर: १६ पुस २०३३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — बीपी,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-054,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, राष्ट्रिय मेलमिलाप नीतिसँग जोडिएको मिति को उत्तर छान्नुहोस्।",१६ पुस २०३३,७ फागुन २००७,२६ चैत २०४६,३ असोज २०७२,A,medium,बीपी,सही उत्तर: १६ पुस २०३३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — बीपी,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-055,चुनौती: राष्ट्रिय मेलमिलाप नीतिसँग जोडिएको मिति — चार विकल्पमध्ये सही उत्तर कुन हो?,२६ चैत २०४६,३ असोज २०७२,१६ पुस २०३३,७ फागुन २००७,C,medium,बीपी,सही उत्तर: १६ पुस २०३३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — बीपी,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-056,२०४६ जनआन्दोलनको प्रमुख उपलब्धि को सही उत्तर कुन हो?,गणतन्त्र स्थापना,बहुदलीय प्रजातन्त्र पुनर्स्थापना,राणा शासन स्थापना,पञ्चायत विस्तार,B,medium,आन्दोलन,सही उत्तर: बहुदलीय प्रजातन्त्र पुनर्स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-057,तलका विकल्पमध्ये २०४६ जनआन्दोलनको प्रमुख उपलब्धि सँग मिल्ने तथ्य छान्नुहोस्।,राणा शासन स्थापना,पञ्चायत विस्तार,गणतन्त्र स्थापना,बहुदलीय प्रजातन्त्र पुनर्स्थापना,D,medium,आन्दोलन,सही उत्तर: बहुदलीय प्रजातन्त्र पुनर्स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-058,ज्ञान परीक्षण: २०४६ जनआन्दोलनको प्रमुख उपलब्धि — सही विकल्प कुन हो?,गणतन्त्र स्थापना,बहुदलीय प्रजातन्त्र पुनर्स्थापना,राणा शासन स्थापना,पञ्चायत विस्तार,B,medium,आन्दोलन,सही उत्तर: बहुदलीय प्रजातन्त्र पुनर्स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-059,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०४६ जनआन्दोलनको प्रमुख उपलब्धि को उत्तर छान्नुहोस्।",राणा शासन स्थापना,पञ्चायत विस्तार,गणतन्त्र स्थापना,बहुदलीय प्रजातन्त्र पुनर्स्थापना,D,medium,आन्दोलन,सही उत्तर: बहुदलीय प्रजातन्त्र पुनर्स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-060,चुनौती: २०४६ जनआन्दोलनको प्रमुख उपलब्धि — चार विकल्पमध्ये सही उत्तर कुन हो?,गणतन्त्र स्थापना,बहुदलीय प्रजातन्त्र पुनर्स्थापना,राणा शासन स्थापना,पञ्चायत विस्तार,B,medium,आन्दोलन,सही उत्तर: बहुदलीय प्रजातन्त्र पुनर्स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-061,२०४८ आमनिर्वाचनमा कांग्रेसको स्थिति को सही उत्तर कुन हो?,बहुमत प्राप्त,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,निर्वाचन स्थगित,A,medium,निर्वाचन,सही उत्तर: बहुमत प्राप्त। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
